terrain_x,terrain_y,terrain_z
300.0,1470.0,621.0
330.0,1470.0,606.0
360.0,1470.0,595.0
390.0,1470.0,587.0
420.0,1470.0,584.0
450.0,1470.0,582.0
480.0,1470.0,564.0
510.0,1470.0,554.0
540.0,1470.0,543.0
570.0,1470.0,535.0
600.0,1470.0,532.0
630.0,1470.0,530.0
660.0,1470.0,534.0
690.0,1470.0,531.0
720.0,1470.0,523.0
750.0,1470.0,524.0
780.0,1470.0,527.0
810.0,1470.0,527.0
840.0,1470.0,526.0
870.0,1470.0,518.0
900.0,1470.0,499.0
930.0,1470.0,482.0
960.0,1470.0,462.0
990.0,1470.0,447.0
1020.0,1470.0,435.0
1050.0,1470.0,426.0
1080.0,1470.0,418.0
1110.0,1470.0,408.0
1140.0,1470.0,381.0
1170.0,1470.0,365.0
1200.0,1470.0,361.0
1230.0,1470.0,349.0
1260.0,1470.0,336.0
1290.0,1470.0,315.0
1320.0,1470.0,302.0
1350.0,1470.0,290.0
1380.0,1470.0,277.0
1410.0,1470.0,267.0
1440.0,1470.0,253.0
1470.0,1470.0,235.0
1500.0,1470.0,226.0
1530.0,1470.0,218.0
1560.0,1470.0,205.0
0.0,1440.0,651.0
30.0,1440.0,649.0
60.0,1440.0,651.0
90.0,1440.0,657.0
120.0,1440.0,662.0
150.0,1440.0,663.0
180.0,1440.0,662.0
210.0,1440.0,661.0
240.0,1440.0,651.0
270.0,1440.0,645.0
300.0,1440.0,638.0
330.0,1440.0,626.0
360.0,1440.0,612.0
390.0,1440.0,603.0
420.0,1440.0,598.0
450.0,1440.0,590.0
480.0,1440.0,574.0
510.0,1440.0,567.0
540.0,1440.0,556.0
570.0,1440.0,551.0
600.0,1440.0,548.0
630.0,1440.0,545.0
660.0,1440.0,543.0
690.0,1440.0,541.0
720.0,1440.0,536.0
750.0,1440.0,535.0
780.0,1440.0,532.0
810.0,1440.0,528.0
840.0,1440.0,522.0
870.0,1440.0,504.0
900.0,1440.0,484.0
930.0,1440.0,464.0
960.0,1440.0,449.0
990.0,1440.0,436.0
1020.0,1440.0,427.0
1050.0,1440.0,414.0
1080.0,1440.0,409.0
1110.0,1440.0,397.0
1140.0,1440.0,373.0
1170.0,1440.0,360.0
1200.0,1440.0,342.0
1230.0,1440.0,332.0
1260.0,1440.0,321.0
1290.0,1440.0,306.0
1320.0,1440.0,296.0
1350.0,1440.0,286.0
1380.0,1440.0,273.0
1410.0,1440.0,262.0
1440.0,1440.0,246.0
1470.0,1440.0,231.0
1500.0,1440.0,220.0
1530.0,1440.0,210.0
1560.0,1440.0,197.0
0.0,1410.0,663.0
30.0,1410.0,666.0
60.0,1410.0,671.0
90.0,1410.0,678.0
120.0,1410.0,679.0
150.0,1410.0,677.0
180.0,1410.0,676.0
210.0,1410.0,671.0
240.0,1410.0,662.0
270.0,1410.0,653.0
300.0,1410.0,650.0
330.0,1410.0,636.0
360.0,1410.0,623.0
390.0,1410.0,615.0
420.0,1410.0,607.0
450.0,1410.0,597.0
480.0,1410.0,581.0
510.0,1410.0,573.0
540.0,1410.0,569.0
570.0,1410.0,565.0
600.0,1410.0,563.0
630.0,1410.0,560.0
660.0,1410.0,557.0
690.0,1410.0,548.0
720.0,1410.0,545.0
750.0,1410.0,542.0
780.0,1410.0,534.0
810.0,1410.0,528.0
840.0,1410.0,515.0
870.0,1410.0,495.0
900.0,1410.0,471.0
930.0,1410.0,458.0
960.0,1410.0,438.0
990.0,1410.0,426.0
1020.0,1410.0,416.0
1050.0,1410.0,406.0
1080.0,1410.0,394.0
1110.0,1410.0,379.0
1140.0,1410.0,362.0
1170.0,1410.0,348.0
1200.0,1410.0,328.0
1230.0,1410.0,309.0
1260.0,1410.0,299.0
1290.0,1410.0,289.0
1320.0,1410.0,285.0
1350.0,1410.0,276.0
1380.0,1410.0,270.0
1410.0,1410.0,258.0
1440.0,1410.0,240.0
1470.0,1410.0,228.0
1500.0,1410.0,220.0
1530.0,1410.0,206.0
1560.0,1410.0,195.0
0.0,1380.0,680.0
30.0,1380.0,683.0
60.0,1380.0,690.0
90.0,1380.0,691.0
120.0,1380.0,694.0
150.0,1380.0,694.0
180.0,1380.0,695.0
210.0,1380.0,685.0
240.0,1380.0,678.0
270.0,1380.0,673.0
300.0,1380.0,659.0
330.0,1380.0,648.0
360.0,1380.0,633.0
390.0,1380.0,625.0
420.0,1380.0,615.0
450.0,1380.0,606.0
480.0,1380.0,591.0
510.0,1380.0,584.0
540.0,1380.0,580.0
570.0,1380.0,578.0
600.0,1380.0,573.0
630.0,1380.0,572.0
660.0,1380.0,565.0
690.0,1380.0,548.0
720.0,1380.0,536.0
750.0,1380.0,529.0
780.0,1380.0,525.0
810.0,1380.0,518.0
840.0,1380.0,499.0
870.0,1380.0,470.0
900.0,1380.0,452.0
930.0,1380.0,436.0
960.0,1380.0,425.0
990.0,1380.0,411.0
1020.0,1380.0,399.0
1050.0,1380.0,391.0
1080.0,1380.0,374.0
1110.0,1380.0,359.0
1140.0,1380.0,347.0
1170.0,1380.0,336.0
1200.0,1380.0,318.0
1230.0,1380.0,290.0
1260.0,1380.0,283.0
1290.0,1380.0,281.0
1320.0,1380.0,276.0
1350.0,1380.0,271.0
1380.0,1380.0,265.0
1410.0,1380.0,250.0
1440.0,1380.0,234.0
1470.0,1380.0,229.0
1500.0,1380.0,220.0
1530.0,1380.0,210.0
1560.0,1380.0,197.0
0.0,1350.0,697.0
30.0,1350.0,698.0
60.0,1350.0,700.0
90.0,1350.0,702.0
120.0,1350.0,702.0
150.0,1350.0,707.0
180.0,1350.0,707.0
210.0,1350.0,705.0
240.0,1350.0,711.0
270.0,1350.0,698.0
300.0,1350.0,679.0
