ncols	53
nrows	53
xllcorner	346115.620512
yllcorner	2645254.507895
cellsize	30.000000
NODATA_value	-32768.000000
50	35	27	18	13	11	7	4	2	4	9	13	15	13	12	15	19	17	18	17	18	18	20	20	21	21	22	24	26	28	32	33	33	28	29	30	28	29	32	38	40	38	34	34	37	41	44	44	43	42	40	38	38
48	33	25	16	13	11	5	359	359	6	13	15	16	15	14	15	18	18	19	18	19	21	22	21	21	24	24	24	27	28	29	32	32	29	28	30	30	31	34	39	40	39	37	37	39	41	43	44	43	42	40	37	37
42	27	19	12	11	9	0	359	3	9	14	16	17	16	17	16	15	16	17	20	21	22	24	25	23	21	22	24	28	29	27	30	32	32	33	36	36	35	37	40	42	42	41	39	39	40	40	40	40	38	38	36	36
39	24	16	9	9	8	4	6	10	12	15	17	18	19	20	15	11	14	16	18	20	23	26	26	21	19	22	23	26	28	28	30	33	35	37	40	38	38	40	43	44	44	42	40	39	39	39	39	38	37	36	34	34
31	19	13	6	8	11	15	17	17	18	18	17	18	19	17	13	9	11	14	18	21	23	25	25	21	19	20	23	24	27	30	32	35	39	41	43	40	40	41	42	42	42	41	38	36	36	37	37	36	35	34	33	33
22	18	14	9	11	21	24	20	13	20	19	17	13	15	15	13	11	13	16	21	22	22	25	26	22	20	19	25	28	30	31	33	36	38	38	40	37	35	36	37	36	36	36	34	34	35	35	35	34	33	33	31	31
17	19	16	12	12	23	21	19	11	15	14	14	13	13	15	15	16	17	16	22	23	22	25	27	25	22	21	28	30	30	30	31	33	36	37	37	35	33	33	34	34	33	34	33	33	34	34	34	33	32	31	30	30
10	16	17	16	13	14	12	15	11	10	11	13	14	12	15	18	18	18	15	18	20	21	24	27	27	24	24	30	29	25	26	29	31	33	35	35	35	32	32	32	32	31	32	32	32	33	33	33	31	30	29	28	28
359	14	18	20	17	15	11	11	8	10	14	13	13	14	16	15	16	17	14	15	17	22	26	27	30	30	26	26	26	25	27	30	30	30	33	34	34	32	31	31	31	31	32	33	33	34	34	32	31	29	27	26	26
348	13	19	21	19	16	13	11	8	10	15	15	16	16	18	17	17	16	15	18	20	24	28	29	30	27	22	21	26	27	27	27	26	26	29	30	31	29	29	30	30	30	33	34	35	36	35	34	31	29	26	25	25
333	6	19	22	22	20	15	13	13	14	18	18	18	19	22	24	22	20	19	21	22	26	29	28	26	23	21	18	26	26	23	23	22	23	25	26	27	27	27	29	30	31	36	37	37	38	37	35	31	27	24	21	21
330	356	13	24	23	21	18	20	22	21	19	19	21	20	22	26	27	25	23	22	23	26	29	29	26	25	25	20	23	25	22	22	22	24	25	26	27	28	29	32	33	34	37	38	37	35	33	30	26	23	20	16	16
