sensor_x,sensor_y,sensor_z
498.53462861544966,452.6056012360381,309.0
498.33963972469036,452.12933623951426,309.0
498.33633497837735,452.4395941069857,309.0
499.01220785984924,452.3410569731402,309.0
498.6182804655344,452.50008577952786,309.0
498.59847927610093,452.9913841046017,309.0
498.63782014735915,452.61970406878805,309.0
498.20059839815843,452.38284178151883,309.0
498.77250358798136,452.3566019807828,309.0
498.9811293845294,452.1496901242637,309.0
498.3762628231105,452.9573900865825,309.0
498.26919332830556,452.6759498812551,309.0
498.5989974322031,452.84420526890614,309.0
498.26880454327295,452.47006906830353,309.0
498.5131838083433,452.47263295702487,309.0
498.1621288942629,452.36551326798906,309.0
498.9851016160394,452.8651242611139,309.0
499.1031447648733,452.34741560965676,309.0
498.2986015022093,452.83664983286513,309.0
498.13859681372804,452.38633106792355,309.0
498.6687986213148,452.943931882592,309.0
498.2913405006015,452.4644010966586,309.0
498.44537597922584,452.121758915315,309.0
498.1619113916662,452.11228111341063,309.0
498.9052185724696,452.64909659649317,309.0
498.17268612038686,452.4515530520337,309.0
498.8699673744181,452.6522331393122,309.0
498.21410430035564,452.4951759993565,309.0
498.7860472697533,452.66769659557536,309.0
498.50722324861107,452.31344938844904,309.0
498.48519325696515,453.0397828953395,309.0
498.2732562232069,452.8178863886516,309.0
498.2358199034281,452.2101317843212,309.0
498.8202061795338,452.82068667583127,309.0
498.2243250456741,452.5067040051892,309.0
499.01011224424417,452.63778448258273,309.0
498.5414790178496,452.7708216170334,309.0
498.8863221827268,452.1725356655716,309.0
498.89064243551167,452.2052580585777,309.0
498.4185033184769,452.9395977750718,309.0
498.4811447234938,453.07492289294606,309.0
499.0322662125424,452.6764605655915,309.0
498.8938530724555,452.1119592451884,309.0
498.88386432509543,452.402483446848,309.0
498.8410688464157,452.6625989905062,309.0
498.93704364453316,452.35103893409655,309.0
498.42921909082605,452.18275446190455,309.0
498.5690306614484,452.67568485982645,309.0
498.9861433088538,452.36863748468886,309.0
498.44504648495126,452.86494003230837,309.0
498.39537265006254,452.2870810204839,309.0
498.2134571252047,452.80013204518684,309.0
498.1703045917217,452.98941103361284,309.0
498.4933988883687,452.43126423625307,309.0
499.01886024564516,452.59041766414396,309.0
1304.5008473902838,1196.267919932646,201.0
1304.0008743572403,1196.2820698484727,201.0
1304.7775437652188,1195.7971082088145,201.0
1304.9884016427457,1196.4888532721482,201.0
1304.5606476911867,1196.6036253915838,201.0
1304.9421981860978,1196.6227227158356,201.0
1304.1722333318864,1195.9732575933326,201.0
1304.7098870951104,1196.4060174519295,201.0
1304.1396522818889,1195.90879331338,201.0
1304.6767563824533,1196.3059591925787,201.0
1304.0597581013387,1196.6935626349912,201.0
1304.9639127134774,1196.5335284716773,201.0
1304.8514202198355,1196.5830683994618,201.0
1304.5743512129025,1196.5475457933087,201.0
1304.2623773459939,1196.627104773652,201.0
1304.1449749950636,1196.1752633193998,201.0
1304.9540104560238,1196.540236647169,201.0
1304.9070208267524,1196.2420244593313,201.0
1304.8158489840828,1196.5186225881032,201.0
1304.1534301480522,1196.2688907966963,201.0
1304.8759686839285,1196.6463875547186,201.0
1304.0190894008622,1195.8357204940846,201.0
1304.8769310786488,1196.080740189372,201.0
1304.5084135938414,1196.757188433043,201.0
1304.3215977591813,1196.548949387826,201.0
1304.9502206989232,1196.203079622623,201.0
1304.7238309998088,1195.9333277337846,201.0
1304.6642819837132,1196.271477267747,201.0
1304.7190906467738,1196.053477779714,201.0
1304.4677057196845,1196.430231580342,201.0
1304.4723853686214,1196.2383813423567,201.0
1304.732390629832,1196.6109460132761,201.0
1304.3610823366628,1196.7167578475407,201.0
1304.4146804940603,1196.3693362871013,201.0
1304.4095030046644,1196.0615283442423,201.0
1304.2323932786987,1196.7066074141933,201.0
1304.5491091258798,1196.1730295982986,201.0
1304.0300550479226,1196.3716400963851,201.0
1304.1909443007933,1196.7417764483757,201.0
1304.3166047303343,1195.7872248009996,201.0
1304.7890280896816,1195.8328780772333,201.0
1304.5985551382244,1196.644554250612,201.0
1304.4832176117995,1196.1189034273566,201.0
1304.669574815166,1196.4679080035944,201.0
1304.2699928901689,1196.7168410075878,201.0
1304.5749501714856,1196.0983076925295,201.0
1304.444108237113,1196.3351025942284,201.0
1304.2911455941553,1196.7271477057027,201.0
1304.0407309149418,1196.511093113157,201.0
1304.413202989448,1196.6795373256084,201.0
1304.8698055537473,1196.0903363506966,201.0
1304.697392273813,1196.4869275613269,201.0
1304.8728071042324,1196.2761019477714,201.0
1304.257620246849,1195.995629578685,201.0
1304.496523443139,1196.7122108636183,201.0
1304.0952651085815,1196.7130506156902,201.0
1304.4584559567593,1196.6242611009136,201.0
1304.94345088179,1196.2878975507324,201.0
1304.3206960543625,1196.3164701732442,201.0
1304.3996053519181,1196.6620581134034,201.0
1304.180089107056,1196.6446293394529,201.0
1304.8962094553297,1196.677251210737,201.0
1304.6769344875288,1195.919049608912,201.0
1304.1979584387188,1196.6264472110347,201.0
1304.3596929283005,1196.4134678177454,201.0
1304.3222984450088,1196.7175130766382,201.0
1304.269089932778,1196.5714382257154,201.0
1304.83356006882,1196.3678266470265,201.0
1304.3343933222914,1196.0001762307022,201.0
1304.4339728639934,1196.181351201908,201.0
1304.6705387852187,1195.8056475815622,201.0
1304.039862848872,1196.7629800451193,201.0
