terrain_x,terrain_y,terrain_z
347360.62051192555,2646769.5078953276,360.0
347390.62051192555,2646769.5078953276,339.0
347420.62051192555,2646769.5078953276,327.0
347450.62051192555,2646769.5078953276,304.0
347480.62051192555,2646769.5078953276,298.0
347510.62051192555,2646769.5078953276,285.0
347540.62051192555,2646769.5078953276,271.0
347570.62051192555,2646769.5078953276,260.0
347600.62051192555,2646769.5078953276,245.0
347630.62051192555,2646769.5078953276,232.0
347660.62051192555,2646769.5078953276,224.0
347690.62051192555,2646769.5078953276,214.0
346130.62051192555,2646739.5078953276,636.0
346160.62051192555,2646739.5078953276,637.0
346190.62051192555,2646739.5078953276,638.0
346220.62051192555,2646739.5078953276,643.0
346250.62051192555,2646739.5078953276,648.0
346280.62051192555,2646739.5078953276,651.0
346310.62051192555,2646739.5078953276,649.0
346340.62051192555,2646739.5078953276,645.0
346370.62051192555,2646739.5078953276,638.0
346400.62051192555,2646739.5078953276,633.0
346430.62051192555,2646739.5078953276,621.0
346460.62051192555,2646739.5078953276,606.0
346490.62051192555,2646739.5078953276,595.0
346520.62051192555,2646739.5078953276,587.0
346550.62051192555,2646739.5078953276,584.0
346580.62051192555,2646739.5078953276,582.0
346610.62051192555,2646739.5078953276,564.0
346640.62051192555,2646739.5078953276,554.0
346670.62051192555,2646739.5078953276,543.0
346700.62051192555,2646739.5078953276,535.0
346730.62051192555,2646739.5078953276,532.0
346760.62051192555,2646739.5078953276,530.0
346790.62051192555,2646739.5078953276,534.0
346820.62051192555,2646739.5078953276,531.0
346850.62051192555,2646739.5078953276,523.0
346880.62051192555,2646739.5078953276,524.0
346910.62051192555,2646739.5078953276,527.0
346940.62051192555,2646739.5078953276,527.0
346970.62051192555,2646739.5078953276,526.0
347000.62051192555,2646739.5078953276,518.0
347030.62051192555,2646739.5078953276,499.0
347060.62051192555,2646739.5078953276,482.0
347090.62051192555,2646739.5078953276,462.0
347120.62051192555,2646739.5078953276,447.0
347150.62051192555,2646739.5078953276,435.0
347180.62051192555,2646739.5078953276,426.0
347210.62051192555,2646739.5078953276,418.0
347240.62051192555,2646739.5078953276,408.0
347270.62051192555,2646739.5078953276,381.0
347300.62051192555,2646739.5078953276,365.0
347330.62051192555,2646739.5078953276,361.0
347360.62051192555,2646739.5078953276,349.0
347390.62051192555,2646739.5078953276,336.0
347420.62051192555,2646739.5078953276,315.0
347450.62051192555,2646739.5078953276,302.0
347480.62051192555,2646739.5078953276,290.0
347510.62051192555,2646739.5078953276,277.0
347540.62051192555,2646739.5078953276,267.0
