terrain_x,terrain_y,terrain_z,wind_velocity,wind_angle
10900.572916666628,15307.1875,808.0,4.58,15
11132.5,15307.1875,853.0,4.55,16
11364.427083333314,15307.1875,887.0,4.53,17
11596.354166666686,15307.1875,842.0,4.47,17
11828.28125,15307.1875,605.0,4.38,17
12060.208333333314,15307.1875,420.0,4.29,17
12292.135416666686,15307.1875,302.0,4.22,16
12524.0625,15307.1875,323.0,4.15,16
12755.989583333314,15307.1875,447.0,4.09,15
12987.916666666686,15307.1875,556.0,4.04,16
13219.84375,15307.1875,674.0,3.99,16
13451.770833333314,15307.1875,840.0,3.94,16
13683.697916666686,15307.1875,968.0,3.9,17
13915.625,15307.1875,1035.0,3.85,17
14147.552083333314,15307.1875,1072.0,3.78,18
14379.479166666686,15307.1875,1029.0,3.7,19
14611.40625,15307.1875,930.0,3.6,20
14843.333333333314,15307.1875,710.0,3.51,20
15075.260416666686,15307.1875,491.0,3.43,20
15307.1875,15307.1875,361.0,3.39,19
0.0,15075.260416666511,827.0,3.41,18
231.92708333331393,15075.260416666511,720.0,3.44,18
463.85416666662786,15075.260416666511,666.0,3.45,19
695.78125,15075.260416666511,792.0,3.42,19
927.7083333333139,15075.260416666511,712.0,3.39,20
1159.6354166666279,15075.260416666511,672.0,3.33,21
1391.5625,15075.260416666511,633.0,3.25,21
1623.489583333314,15075.260416666511,847.0,3.17,21
1855.4166666666279,15075.260416666511,923.0,3.09,21
2087.34375,15075.260416666511,950.0,3.03,21
2319.270833333314,15075.260416666511,977.0,2.97,22
2551.197916666628,15075.260416666511,1084.0,2.9,23
2783.125,15075.260416666511,1228.0,2.82,24
3015.052083333314,15075.260416666511,1304.0,2.72,25
3246.979166666628,15075.260416666511,1375.0,2.57,26
3478.90625,15075.260416666511,1458.0,2.35,26
3710.833333333314,15075.260416666511,1484.0,2.19,27
3942.760416666628,15075.260416666511,1699.0,2.14,28
4174.6875,15075.260416666511,1685.0,2.13,29
4406.614583333314,15075.260416666511,1669.0,2.12,31
4638.541666666628,15075.260416666511,1663.0,2.12,31
4870.46875,15075.260416666511,1545.0,2.12,30
5102.395833333314,15075.260416666511,1527.0,2.13,29
5334.322916666628,15075.260416666511,1497.0,2.18,27
5566.25,15075.260416666511,1507.0,2.27,24
5798.177083333314,15075.260416666511,1384.0,2.39,22
6030.104166666628,15075.260416666511,1379.0,2.54,21
6262.03125,15075.260416666511,1456.0,2.73,21
6493.958333333314,15075.260416666511,1503.0,2.92,19
6725.885416666628,15075.260416666511,1673.0,3.11,17
6957.8125,15075.260416666511,1806.0,3.28,15
7189.739583333314,15075.260416666511,1838.0,3.43,14
7421.666666666628,15075.260416666511,1944.0,3.52,14
7653.59375,15075.260416666511,2080.0,3.6,15
7885.520833333314,15075.260416666511,2124.0,3.67,15
8117.447916666628,15075.260416666511,1952.0,3.71,16
8349.375,15075.260416666511,1794.0,3.75,16
8581.302083333314,15075.260416666511,1637.0,3.78,17
8813.229166666628,15075.260416666511,1462.0,3.77,19
9045.15625,15075.260416666511,1050.0,3.72,20
9277.083333333314,15075.260416666511,858.0,3.65,22
9509.010416666628,15075.260416666511,749.0,3.5,22
9740.9375,15075.260416666511,663.0,3.27,21
9972.864583333314,15075.260416666511,581.0,3.11,19
10204.791666666628,15075.260416666511,576.0,3.09,18
10436.71875,15075.260416666511,564.0,3.19,16
10668.645833333314,15075.260416666511,585.0,3.38,14
10900.572916666628,15075.260416666511,700.0,3.62,12
11132.5,15075.260416666511,779.0,3.85,11
11364.427083333314,15075.260416666511,726.0,4.04,11
11596.354166666686,15075.260416666511,771.0,4.19,11
11828.28125,15075.260416666511,645.0,4.31,10
12060.208333333314,15075.260416666511,448.0,4.42,10
12292.135416666686,15075.260416666511,309.0,4.52,9
12524.0625,15075.260416666511,271.0,4.56,8
12755.989583333314,15075.260416666511,379.0,4.58,9
12987.916666666686,15075.260416666511,471.0,4.64,10
13219.84375,15075.260416666511,550.0,4.66,10
13451.770833333314,15075.260416666511,665.0,4.66,10
13683.697916666686,15075.260416666511,817.0,4.6,11
13915.625,15075.260416666511,907.0,4.58,12
