sensor_x,sensor_y,sensor_z
340860.8104448612,2644393.8474705364,1675.0
342020.44586152787,2645553.4828872033,2184.0
343643.9354448612,2649264.3162205364,793.0
354544.50836152787,2649960.0974705364,46.0
347586.69586152787,2649264.3162205364,252.0
347818.6229448612,2650192.02455387,123.0
344107.78961152787,2647640.8266372033,1220.0
353152.94586152787,2652743.2224705364,46.0
341788.5187781945,2642770.3578872033,1752.0
350369.82086152787,2645553.4828872033,62.0
341324.66461152787,2646249.2641372033,2154.0
351297.5291948612,2650192.02455387,159.0
350601.7479448612,2645089.6287205364,58.0
343875.8625281945,2648104.68080387,942.0
342948.1541948612,2644393.8474705364,1153.0
353384.8729448612,2644857.7016372033,43.0
340396.9562781945,2647640.8266372033,1427.0
348282.47711152787,2643002.2849705364,80.0
343180.0812781945,2646481.1912205364,1629.0
343180.0812781945,2649264.3162205364,954.0
350369.82086152787,2650423.9516372033,408.0
342020.44586152787,2644625.77455387,2048.0
345035.4979448612,2643929.99330387,509.0
342716.22711152787,2657381.7641372033,1358.0
341556.5916948612,2651815.5141372033,971.0
